node,x,y,z
PHYHIP,-2.1559786796569824,-0.2092050164937973,-0.31124231219291687
KIF15,-0.18694089353084564,1.8911802768707275,-2.0096049308776855
DYRK1A,6.269042491912842,8.400628089904785,3.26652193069458
ZZEF1,1.3778369426727295,0.32219305634498596,2.505483388900757
PNPLA2,1.0402895212173462,-0.04740988835692406,2.0335984230041504
NDUFV3,0.6200581192970276,0.9198409914970398,0.9935612082481384
PAQR5,-1.955795168876648,-2.2343149185180664,-1.0935252904891968
EEF1A1,1.843510389328003,4.652139186859131,-0.8337452411651611
CA10,-2.770070791244507,0.037952639162540436,-0.10860161483287811
NFE2,1.5512968301773071,2.0126073360443115,-0.7794159650802612
SUPT5H,-0.4138050675392151,-1.6782306432724,1.205704689025879
PTRH2,0.8550142645835876,0.30789467692375183,-0.7918440103530884
LIMD1,-2.336653470993042,0.28448307514190674,-0.49567878246307373
TTR,1.2599762678146362,-1.2899774312973022,-0.8328700065612793
PRKD2,1.5000643730163574,1.9433072805404663,0.1901194006204605
ANKRD12,-2.098386764526367,0.9929128289222717,-2.167951822280884
MED8,-0.3777424097061157,4.165473937988281,-4.6096272468566895
HDAC11,0.7817180752754211,0.1338685303926468,1.406175971031189
S100A13,0.8726444840431213,2.087475299835205,1.5350368022918701
MAGED4B,-1.0044411420822144,-0.8108272552490234,0.099884033203125
FAM131A,-1.941972017288208,-0.3665224015712738,-1.3285714387893677
ERG28,-1.72709059715271,-2.3678934574127197,-0.8337369561195374
TRIP6,-1.6364719867706299,2.376904010772705,-0.06093832850456238
SMARCC2,0.7539424896240234,2.9128010272979736,-1.5410475730895996
WDR89,4.06315279006958,1.6600370407104492,6.435860633850098
TMEM255B,-1.0653237104415894,-2.228250503540039,-0.3951829969882965
NDRG1,0.016745764762163162,2.1318910121917725,-1.7423344850540161
METTL18,-3.0505313873291016,0.9435099959373474,-1.0471303462982178
HNRNPA1,0.4972168803215027,-2.556126356124878,-2.2247684001922607
COPS6,0.8751956820487976,-0.1571098417043686,1.199754238128662
PRMT5,0.8299877047538757,0.57158362865448,-0.026442397385835648
PPIE,0.27259427309036255,0.5283188819885254,2.117743492126465
VIM,1.9546716213226318,0.4463805556297302,2.587505340576172
FANCG,1.9576120376586914,0.6478861570358276,1.8861970901489258
PISD,1.495579481124878,0.9283750057220459,2.1700029373168945
MED6,-0.4547134339809418,4.248718738555908,-4.627345085144043
MKI67,1.582395076751709,0.17073865234851837,1.903652310371399
BEGAIN,-1.2274271249771118,-1.5281002521514893,-0.33316516876220703
CANX,1.1705105304718018,-2.707594633102417,-1.999366044998169
DMD,0.7115331888198853,-0.017060289159417152,1.9269416332244873
CHD3,1.4636332988739014,0.22253209352493286,1.5660812854766846
EGR1,1.7148789167404175,4.334422588348389,-1.425950527191162
TAF1A,-0.6265268921852112,0.5621075630187988,1.0241453647613525
CEP126,1.4143571853637695,1.2931418418884277,-0.5543600916862488
SETDB1,-0.4550133943557739,0.6815208792686462,1.0980356931686401
CROCC,-2.0013763904571533,-1.1227871179580688,1.2832978963851929
KIAA1143,-0.111139215528965,-0.8076907992362976,0.6651341319084167
MRPL44,-1.2046771049499512,3.598327875137329,-0.23882420361042023
YY1,0.2514514625072479,2.8243727684020996,1.8230270147323608
E2F4,0.44461295008659363,2.822916269302368,1.7082266807556152
ELMO3,0.7352633476257324,3.1602463722229004,1.3346894979476929
CD2AP,5.873256206512451,7.831486225128174,2.897157907485962
DEK,1.0063564777374268,0.11366070806980133,0.08482606709003448
HSP90B1,2.3537824153900146,-0.1009732112288475,2.495880126953125
UPF2,-2.311511754989624,-1.737914800643921,0.9777974486351013
MAP1LC3A,1.609999179840088,-0.18153369426727295,2.6793835163116455
CUL4B,1.0462168455123901,-0.350654274225235,2.052687406539917
SYNC,-1.0738576650619507,0.5275195240974426,0.3225117027759552
MRI1,1.7438220977783203,0.21284665167331696,2.4166951179504395
DGCR8,0.7544161677360535,3.0002384185791016,-0.9962400197982788
KIFBP,0.830566942691803,-0.28401613235473633,0.2782086730003357
GPANK1,-0.5848232507705688,-0.9736196398735046,-2.1166205406188965
PNMA1,-1.1045665740966797,1.3956440687179565,-2.011190176010132
MEOX2,1.46671462059021,-1.331978678703308,-3.9454081058502197
ZMAT5,-2.743288040161133,-1.2704949378967285,-0.3767329752445221
BHLHB9,-1.24110746383667,-1.9277416467666626,0.35234370827674866
GRB2,5.6126933097839355,7.507965564727783,3.008704423904419
TGM1,-2.901500940322876,-0.26993444561958313,-0.40837982296943665
LDOC1,-0.2698548138141632,2.042708158493042,-2.241907835006714
ZBTB8OS,-2.2468533515930176,-0.5525060296058655,-0.07832569628953934
MAGED1,1.3508281707763672,0.445033997297287,2.190768241882324
DDI1,1.364898443222046,0.49020543694496155,2.2376604080200195
FTO,-2.794053554534912,-1.2600500583648682,-0.5276299715042114
TRAF2,5.477006912231445,7.792038917541504,2.9312069416046143
OIP5,-2.4746551513671875,0.6766725778579712,-0.057251546531915665
SPATA2,1.6368350982666016,-0.8362133502960205,-0.2826610505580902
STMN3,1.2476634979248047,0.055339276790618896,2.2576487064361572
HDGFL3,-1.7241098880767822,-1.1055409908294678,-0.6093755960464478
GOLGA2,-1.5053167343139648,-1.4370108842849731,0.4030858874320984
CCDC85B,0.7574214935302734,-0.13989418745040894,0.348719984292984
KRTAP12-2,-0.029143674299120903,-0.9808785319328308,-3.120246410369873
BAG4,-1.848596215248108,0.4024452865123749,-0.10348787903785706
STX5,0.9195263385772705,3.6732089519500732,-1.5613726377487183
