node,x,y,z,x_2d,y_2d
PHYHIP,-2.1559786796569824,-0.2092050164937973,-0.3112423121929168,4.369079113006592,9.299102783203125
KIF15,-0.1869408935308456,1.8911802768707275,-2.009604930877685,16.69454574584961,9.853330612182617
DYRK1A,6.269042491912842,8.400628089904785,3.26652193069458,21.947582244873047,7.91056489944458
ZZEF1,1.3778369426727295,0.3221930563449859,2.505483388900757,5.049496173858643,-5.510073661804199
PNPLA2,1.0402895212173462,-0.047409888356924,2.0335984230041504,4.788179874420166,-2.7183213233947754
NDUFV3,0.6200581192970276,0.9198409914970398,0.9935612082481384,9.049846649169922,1.6952931880950928
PAQR5,-1.955795168876648,-2.2343149185180664,-1.0935252904891968,0.6060531139373779,12.977794647216797
EEF1A1,1.843510389328003,4.652139186859131,-0.8337452411651611,17.201372146606445,4.926783084869385
CA10,-2.770070791244507,0.0379526391625404,-0.1086016148328781,4.478061676025391,9.316598892211914
NFE2,1.5512968301773071,2.0126073360443115,-0.7794159650802612,15.373529434204102,2.4168272018432617
SUPT5H,-0.4138050675392151,-1.6782306432724,1.205704689025879,-0.7456063628196716,3.761237859725952
PTRH2,0.8550142645835876,0.3078946769237518,-0.7918440103530884,10.719076156616211,1.5998823642730713
LIMD1,-2.336653470993042,0.2844830751419067,-0.4956787824630737,6.160696983337402,9.260217666625977
TTR,1.2599762678146362,-1.2899774312973022,-0.8328700065612793,5.5393147468566895,1.3514103889465332
PRKD2,1.5000643730163574,1.9433072805404663,0.1901194006204605,13.831759452819824,0.9614164233207703
ANKRD12,-2.098386764526367,0.9929128289222716,-2.167951822280884,11.278839111328125,11.075935363769531
MED8,-0.3777424097061157,4.165473937988281,-4.6096272468566895,14.470702171325684,10.292171478271484
HDAC11,0.7817180752754211,0.1338685303926468,1.406175971031189,6.298158168792725,-1.3406462669372559
S100A13,0.8726444840431213,2.087475299835205,1.53503680229187,14.275455474853516,-1.9883910417556763
MAGED4B,-1.0044411420822144,-0.8108272552490234,0.099884033203125,2.9937379360198975,6.60337495803833
FAM131A,-1.941972017288208,-0.3665224015712738,-1.3285714387893677,6.2105793952941895,11.53451156616211
ERG28,-1.72709059715271,-2.36789345741272,-0.8337369561195374,0.39680853486061096,12.366682052612305
TRIP6,-1.63647198677063,2.376904010772705,-0.0609383285045623,11.624170303344727,6.263818740844727
SMARCC2,0.7539424896240234,2.9128010272979736,-1.5410475730895996,15.362613677978516,4.07158088684082
WDR89,4.06315279006958,1.6600370407104492,6.435860633850098,9.029995918273926,-10.70739459991455
TMEM255B,-1.0653237104415894,-2.228250503540039,-0.3951829969882965,1.7171489000320435,11.6314697265625
NDRG1,0.0167457647621631,2.1318910121917725,-1.742334485054016,16.566652297973633,9.046791076660156
METTL18,-3.0505313873291016,0.9435099959373474,-1.0471303462982178,12.456661224365234,10.705042839050293
HNRNPA1,0.4972168803215027,-2.556126356124878,-2.2247684001922607,9.30330753326416,16.81892204284668
COPS6,0.8751956820487976,-0.1571098417043686,1.199754238128662,6.2638702392578125,-1.0020763874053955
PRMT5,0.8299877047538757,0.57158362865448,-0.0264423973858356,9.494239807128906,0.8028565049171448
PPIE,0.2725942730903625,0.5283188819885254,2.117743492126465,5.254908561706543,-2.457036018371582
VIM,1.954671621322632,0.4463805556297302,2.587505340576172,6.042474269866943,-6.709934711456299
FANCG,1.9576120376586916,0.6478861570358276,1.8861970901489256,7.633737564086914,-4.995505332946777
PISD,1.495579481124878,0.928375005722046,2.1700029373168945,7.653026103973389,-5.157350063323975
MED6,-0.4547134339809418,4.248718738555908,-4.627345085144043,14.462841987609863,10.295726776123047
MKI67,1.582395076751709,0.1707386523485183,1.903652310371399,6.034435749053955,-3.6746716499328613
BEGAIN,-1.2274271249771118,-1.5281002521514893,-0.333165168762207,1.5889384746551514,10.889098167419434
CANX,1.1705105304718018,-2.707594633102417,-1.999366044998169,9.677656173706055,17.149030685424805
DMD,0.7115331888198853,-0.0170602891594171,1.9269416332244875,4.796566486358643,-2.1607043743133545
CHD3,1.4636332988739014,0.2225320935249328,1.5660812854766846,6.73600435256958,-2.6164228916168213
EGR1,1.7148789167404177,4.334422588348389,-1.425950527191162,17.14859962463379,4.898497104644775
TAF1A,-0.6265268921852112,0.5621075630187988,1.0241453647613523,7.311031818389893,3.8314740657806396
CEP126,1.4143571853637695,1.2931418418884275,-0.5543600916862488,14.032246589660645,2.3369643688201904
SETDB1,-0.4550133943557739,0.6815208792686462,1.09803569316864,7.4944167137146,3.528228282928467
CROCC,-2.0013763904571533,-1.1227871179580688,1.2832978963851929,-0.03416666388511658,6.731801509857178
KIAA1143,-0.111139215528965,-0.8076907992362976,0.6651341319084167,5.002606391906738,3.54472279548645
MRPL44,-1.2046771049499512,3.598327875137329,-0.2388242036104202,18.675827026367188,4.306806564331055
YY1,0.2514514625072479,2.8243727684021,1.8230270147323608,15.344315528869629,-1.9331488609313965
E2F4,0.4446129500865936,2.822916269302368,1.7082266807556152,15.463533401489258,-1.9896358251571655
ELMO3,0.7352633476257324,3.1602463722229004,1.3346894979476929,16.400209426879883,-1.4265484809875488
CD2AP,5.873256206512451,7.831486225128174,2.897157907485962,21.155839920043945,7.1266350746154785
DEK,1.0063564777374268,0.1136607080698013,0.0848260670900344,7.638890743255615,1.173624873161316
HSP90B1,2.353782415390014,-0.1009732112288475,2.495880126953125,5.591267108917236,-6.421445369720459
UPF2,-2.311511754989624,-1.737914800643921,0.9777974486351012,0.1099286898970604,8.20315170288086
